key lettering	charcode (dvorak)	keycode (dvorak)	midi note
z	59	59	47
x	113	81	48
c	106	74	49
v	107	75	50
b	120	88	51
a	97	65	52
s	111	79	53
d	101	69	54
f	117	85	55
g	105	73	56
q	39	222	57
w	44	188	58
e	46	190	59
r	112	80	60
t	121	89	61
1	49	49	62
2	50	50	63
3	51	51	64
4	52	52	65
5	53	53	66
6	54	54	67
7	55	55	68
8	56	56	69
9	57	57	70
0	48	48	71
y	102	70	72
u	103	71	73
i	99	67	74
o	114	82	75
p	108	76	76
h	100	68	77
j	104	72	78
k	116	84	79
l	110	78	80
;	115	83	81
n	98	66	82
m	109	77	83
,	119	87	84
.	118	86	85
/	122	90	86
